,Unnamed: 0,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,State
3152,3152,Murugan Idli Shop,"Perambur, North Chennai", North Chennai,Chennai,South Indian,3.0,2,300,Tamil Nadu
3153,3153,La Chocolate,"Thiruvanmiyur, South Chennai", South Chennai,Chennai,"Desserts,  Bakery and Confectionary,  Fast Food",3.9,19,700,Tamil Nadu
3154,3154,11 O Cafe,"Perungudi, South West Chennai", South West Chennai,Chennai,"Fast Food,  Coffee,  Pizza,  Drinks",3.8,13,400,Tamil Nadu
3155,3155,Mr.Papdi,"Grand Arcade,Velachery, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Chaat",3.1,3,600,Tamil Nadu
3156,3156,Juice'r rus,"Thiruvanmiyur, South Chennai", South Chennai,Chennai,"Juice,  Shakes,  Desserts",4.0,3,300,Tamil Nadu
3157,3157,Pizza Avenue,"Thiruvanmiyur, South Chennai", South Chennai,Chennai,"Italian,  Fast Food,  Pizza",3.5,10,700,Tamil Nadu
3158,3158,Dindigul Thalappakatti,"Parrys, North Chennai", North Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.4,18,700,Tamil Nadu
3159,3159,Dhaba In The City,"Perungudi, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Seafood",4.1,108,500,Tamil Nadu
3160,3160,Hotel Saravana Bhavan,"George Town, North Chennai", North Chennai,Chennai,"South Indian,  North Indian,  Chinese",3.4,2,600,Tamil Nadu
3161,3161,Pedreno's,"Old Mahabalipuram Road OMR, South West Chennai", South West Chennai,Chennai,"Continental,  Mexican,  Italian",3.5,2,1500,Tamil Nadu
3162,3162,Alien Stone,"Perungudi, South West Chennai", South West Chennai,Chennai,"Fast Food,  Drinks",4.0,1,800,Tamil Nadu
3163,3163,Murugan Idli Shop,"Park Town, North Chennai", North Chennai,Chennai,South Indian,1.0,1,300,Tamil Nadu
3164,3164,Makers Of Milkshakes,"Perambur, North Chennai", North Chennai,Chennai,"Shakes,  Waffle,  Fast Food",2.9,4,300,Tamil Nadu
3165,3165,Brownie Heaven,"Thiruvanmiyur, South Chennai", South Chennai,Chennai,Desserts,3.0,2,400,Tamil Nadu
3166,3166,Flavours,"V7 Hotel,Porur, West Chennai", West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian",4.3,14,1500,Tamil Nadu
3167,3167,Murugan Idli Shop,"Ambattur, North Chennai", North Chennai,Chennai,South Indian,2.8,1,300,Tamil Nadu
3168,3168,Hotel Saravana Bhavan,"Perungudi, South West Chennai", South West Chennai,Chennai,"South Indian,  North Indian,  Chinese",3.6,6,600,Tamil Nadu
3169,3169,Murugan Idli Shop,"Porur, West Chennai", West Chennai,Chennai,South Indian,2.0,2,300,Tamil Nadu
3170,3170,Topi Vappa Biriyani,"Madipakkam, South West Chennai", South West Chennai,Chennai,"Chinese,  Biryani,  Arabian",3.5,14,400,Tamil Nadu
3171,3171,Dindigul Thalappakatti,"Perambur, North Chennai", North Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",2.5,3,700,Tamil Nadu
3172,3172,Chaat Chatore,"Porur, West Chennai", West Chennai,Chennai,"Fast Food,  Street Food",4.6,18,300,Tamil Nadu
3173,3173,Dosa.in,"Maduravoyal, West Chennai", West Chennai,Chennai,South Indian,5.0,1,300,Tamil Nadu
3174,3174,Double Roti,"Neelankarai, South Chennai", South Chennai,Chennai,"Fast Food,  Italian,  American",4.4,47,1000,Tamil Nadu
3175,3175,Mr.Burger,"Iyyapanthangal, West Chennai", West Chennai,Chennai,"Fast Food,  Burger",4.2,8,400,Tamil Nadu
3176,3176,The Bench Cafe,"Kolathur, North Chennai", North Chennai,Chennai,"North Indian,  Chinese,  Continental,  Fast Food",5.0,9,500,Tamil Nadu
3177,3177,Madras Coffee House,"Velachery, South West Chennai", South West Chennai,Chennai,"Street Food,  Coffee,  Desserts",1.0,1,200,Tamil Nadu
