,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
3683,The Old Madras Baking Company,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Bakery and Confectionary,  Desserts,  Fast Food,  Coffee",3.9,35,800
3684,Belgian Waffle Factory,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Waffle",4.2,33,400
3685,The Punjabis Swag,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese",4.3,36,800
3686,Foodies Flavoroso,"Jeedimetla, Secunderabad", Secunderabad,Hyderabad,Desserts,3.4,57,600
3687,Mustang Terrace Lounge,"Satyanarayana Arcade,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Mexican,  North Indian,  Chinese",4.1,433,1700
3688,Eagles Pizza,"Kothapet, East Hyderabad", East Hyderabad,Hyderabad,"Pizza,  Italian,  Ice Cream,  Fast Food",3.4,40,600
3689,Milkshake Buffin,"Uppal, East Hyderabad", East Hyderabad,Hyderabad,"Shakes,  Desserts",4.3,11,300
3690,China Bistro,"Signature Towers,Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Chinese,  Asian,  Thai,  Japanese,  Sushi",4.3,230,2000
3691,Eagles Pizza,"Saroor Nagar West, East Hyderabad", East Hyderabad,Hyderabad,"Pizza,  Italian,  Ice Cream,  Fast Food",3.6,34,600
3692,Makers Of Milkshakes,"Sainikpuri, Secunderabad", Secunderabad,Hyderabad,"Shakes,  Waffle",4.1,10,400
3693,Pondy Parottas,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Chinese,  South Indian",3.9,93,600
3694,Indulge Ice Cream,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Ice Cream,  Desserts",4.0,1,300
3695,Palamuru Grill,"Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Andhra,  North Indian",4.1,171,900
3696,Hotel Swagath Grand,"Medchal, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  Biryani",1.0,2,900
