,Name,Rating,Location,Cuisine,Votes,Cost
3801,Touch of Class,3.9/510 votes,"The Central Court Hotel,Lakdi-Ka-Pul, Central Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood",10 votes,₹ 1000 for two (approx.)
3802,Ghrelin Cafe and Patisserie,4.4/545 votes,"Banjara Hills, Central East Hyderabad","Italian,  Desserts",45 votes,₹ 600 for two (approx.)
3803,Huber and Holly,4.4/597 votes,"Himayath Nagar, Central Hyderabad","Ice Cream,  Fast Food,  Desserts",97 votes,₹ 1000 for two (approx.)
3804,Chill & Terrace,4.0/5265 votes,"Radisson Blu Plaza Hotel,Banjara Hills, Central East Hyderabad","North Indian,  Continental,  South Indian",265 votes,₹ 2400 for two (approx.)
3805,Telangana Spice Kitchen,4.2/5339 votes,"Jubilee Hills, Central West Hyderabad","North Indian,  Chinese,  Mughlai",339 votes,₹ 1500 for two (approx.)
3806,High Spirits Bar,3.8/523 votes,"The Central Court Hotel,Lakdi-Ka-Pul, Central Hyderabad",Finger Food,23 votes,₹ 1100 for two (approx.)
3807,Cups & Plates,3.7/517 votes,"Lakdi-Ka-Pul, Central Hyderabad","North Indian,  Chinese,  European",17 votes,₹ 1000 for two (approx.)
3808,A Bleu Basil,4.1/5200 votes,"Far East Plaza,Himayath Nagar, Central Hyderabad","North Indian,  Chinese,  South Indian,  Fast Food",200 votes,₹ 1000 for two (approx.)
3809,Ohri's - Silver Metro,4.3/5222 votes,"Ohri's Cuisine Court,Basheerbagh, Central Hyderabad","North Indian,  Continental,  Mughlai",222 votes,₹ 1100 for two (approx.)
3810,Biryanis And More,4.2/566 votes,"Ameerpet, Central East Hyderabad","North Indian,  Chinese,  Biryani",66 votes,₹ 1000 for two (approx.)
3811,ABs - Absolute Barbecues,4.4/51335 votes,"Apurupa Silpi,Gachibowli, West Hyderabad","North Indian,  Barbecue,  Seafood",1335 votes,₹ 1200 for two (approx.)
3812,Level Lounge,3.8/513 votes,"The Central Court Hotel,Lakdi-Ka-Pul, Central Hyderabad","North Indian,  Finger Food,  Chinese",13 votes,₹ 1500 for two (approx.)
3813,Mid Land Bakers & Confectioners,3.1/54 votes,"Ameerpet, Central East Hyderabad","Bakery and Confectionary,  Desserts,  Ice Cream,  Fast Food",4 votes,₹ 400 for two (approx.)
3814,Bikanervala,4.2/5179 votes,"Basheerbagh, Central Hyderabad","Street Food,  Desserts,  Mithai,  North Indian,  Chinese",179 votes,₹ 1000 for two (approx.)
3815,Lobby Lounge,4.1/513 votes,"Taj Banjara Hotel,Banjara Hills, Central East Hyderabad","North Indian,  Continental",13 votes,₹ 3000 for two (approx.)
3816,Waterside Cafe,3.8/528 votes,"Taj Banjara Hotel,Banjara Hills, Central East Hyderabad","North Indian,  Continental",28 votes,₹ 3000 for two (approx.)
3817,Cassia,3.5/513 votes,"Hampshire Plaza Hotel,Lakdi-Ka-Pul, Central Hyderabad","Continental,  North Indian,  Italian,  Chinese",13 votes,₹ 1000 for two (approx.)
3818,Eagle Restaurant & Bar,3.6/519 votes,"Shree Venkateshwara Hotel,Lakdi-Ka-Pul, Central Hyderabad","North Indian,  Chinese,  South Indian",19 votes,₹ 1400 for two (approx.)
3819,Kebab E Bahar,4.0/535 votes,"Taj Banjara Hotel,Banjara Hills, Central East Hyderabad","Mughlai,  Hyderabadi",35 votes,₹ 3200 for two (approx.)
3820,Amantran,3.4/52 votes,"Himayath Nagar, Central Hyderabad",Bengali,2 votes,₹ 300 for two (approx.)
3821,So. The Sky Kitchen,4.1/5425 votes,"Aryan's Building,Jubilee Hills, Central West Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  Asian",425 votes,₹ 1800 for two (approx.)
3822,Hydrate - The Bar,3.1/54 votes,"Hampshire Plaza Hotel,Lakdi-Ka-Pul, Central Hyderabad",North Indian,4 votes,₹ 1500 for two (approx.)
3823,Lazeez Khaana,4.4/512 votes,"Himayath Nagar, Central Hyderabad","North Indian,  Chinese,  Mughlai",12 votes,₹ 900 for two (approx.)
3824,Cream Stone,4.2/517 votes,"Banjara Hills, Central East Hyderabad","Desserts,  Ice Cream,  Shakes",17 votes,₹ 400 for two (approx.)
3825,Dakshina Mandapa,4.0/546 votes,"Taj Tristar Hotel,SD Road, Secunderabad","North Indian,  Chinese,  South Indian",46 votes,₹ 700 for two (approx.)
3826,Four Square,3.4/56 votes,"Best Western Ashoka,Lakdi-Ka-Pul, Central Hyderabad","North Indian,  Chinese,  Continental,  South Indian",6 votes,₹ 1200 for two (approx.)
3827,Hotel Shadab,4.3/5173 votes,"SR Nagar, Central East Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Mughlai,  Hyderabadi,  Biryani",173 votes,₹ 900 for two (approx.)
3828,Southern Mirchi,4.0/51 votes,"Banjara Hills, Central East Hyderabad","Chinese,  South Indian",1 votes,₹ 1000 for two (approx.)
3829,Makers Of Milkshakes,4.2/55 votes," Sri Nagar Colony, Central East Hyderabad","Shakes,  Waffle",5 votes,₹ 400 for two (approx.)
3830,Hari Dosa,3.0/56 votes,"Ameerpet, Central East Hyderabad","South Indian,  Street Food,  Fast Food,  Desserts,  Ice Cream,  Shakes",6 votes,₹ 300 for two (approx.)
3831,Reshmi's Classic Restaurant,4.0/576 votes,"SD Road, Secunderabad","North Indian,  Seafood",76 votes,₹ 800 for two (approx.)
3832,Abids Bistro,4.0/5231 votes,"Royalton Hotel,Abids, Central Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",231 votes,₹ 600 for two (approx.)
3833,TOS - Tales Over Spirits,3.9/5280 votes,"Banjara Hills, Central East Hyderabad","North Indian,  Chinese",280 votes,₹ 1500 for two (approx.)
3834,Ohri's Mehfill,4.1/5285 votes,"Hotel Baseraa,SD Road, Secunderabad","North Indian,  Mughlai",285 votes,₹ 1800 for two (approx.)
3835,WOFL,4.1/540 votes,"Banjara Hills, Central East Hyderabad","Desserts,  Fast Food,  Waffle",40 votes,₹ 600 for two (approx.)
3836,Almond House,5.0/55 votes,"Lingapur Building,Himayath Nagar, Central Hyderabad","Mithai,  Desserts",5 votes,₹ 500 for two (approx.)
3837,Holiday Inn Express,1.7/53 votes,"Banjara Hills, Central East Hyderabad","North Indian,  Italian,  Chinese",3 votes,₹ 1400 for two (approx.)
3838,Harley's Fine Baking,5.0/51 votes,"Ameerpet, Central East Hyderabad","Continental,  Desserts",1 votes,₹ 500 for two (approx.)
3839,Vivaha Bhojanambu,4.1/5428 votes,"Jubilee Hills, Central West Hyderabad",South Indian,428 votes,₹ 1000 for two (approx.)
3840,Shri Santosh Family Dhaba,2.6/55 votes,"Banjara Hills, Central East Hyderabad","North Indian,  Chinese",5 votes,₹ 600 for two (approx.)
3841,Rayalaseema Ruchulu,3.9/5544 votes,"36 Square,Jubilee Hills, Central West Hyderabad","Andhra,  North Indian,  South Indian,  Biryani",544 votes,₹ 1200 for two (approx.)
3842,Platform 65,4.3/548 votes,"Ratna Arcade,Kompally, Secunderabad","North Indian,  Chinese",48 votes,₹ 1200 for two (approx.)
3843,Flavours Of TMH,4.2/599 votes,"Taj Tristar Hotel,SD Road, Secunderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",99 votes,₹ 800 for two (approx.)
3844,Salt & Pepper,2.8/55 votes,"The Central Court Hotel,Lakdi-Ka-Pul, Central Hyderabad","North Indian,  Chinese,  Continental",5 votes,₹ 1500 for two (approx.)
3845,Lazeez Multicuisine Restaurant,4.0/5114 votes,"Royal Reve Hotel,SD Road, Secunderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Mughlai",114 votes,₹ 1600 for two (approx.)
3846,Tre-Forni,4.3/529 votes,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad",Italian,29 votes,₹ 3000 for two (approx.)
3847,The Board Game Cafe,4.2/575 votes,"Himayath Nagar, Central Hyderabad","Fast Food,  Chinese,  Continental",75 votes,₹ 900 for two (approx.)
3848,Icekraft,3.3/546 votes,"Banjara Hills, Central East Hyderabad","Ice Cream,  Desserts,  Waffle",46 votes,₹ 500 for two (approx.)
3849,Apna Rasoi,3.9/5114 votes,"SD Road, Secunderabad","Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",114 votes,₹ 600 for two (approx.)
3850,Beijing Bites,3.9/5133 votes,"OM sri sai towers,Himayath Nagar, Central Hyderabad","Chinese,  Thai",133 votes,₹ 1100 for two (approx.)
3851,House Of Dosas,4.3/511 votes,"Banjara Hills, Central East Hyderabad",South Indian,11 votes,₹ 300 for two (approx.)
3852,Waffle House,3.4/516 votes,"Banjara Hills, Central East Hyderabad","Fast Food,  Waffle,  Desserts",16 votes,₹ 600 for two (approx.)
3853,Black Pearl Multi Cuisine Restaurant,3.8/560 votes,"Basheerbagh, Central Hyderabad","North Indian,  Chinese",60 votes,₹ 800 for two (approx.)
3854,China Express,2.0/51 votes,"Terminal Drive In,Sindhi Colony, Secunderabad",Chinese,1 votes,₹ 400 for two (approx.)
3855,Huber and Holly,4.3/5106 votes,"Park View Enclave,Banjara Hills, Central East Hyderabad","Ice Cream,  Fast Food,  Desserts",106 votes,₹ 1000 for two (approx.)
3856,Ohri's Serengeti,4.2/5428 votes,"Ohri's Banjara,Banjara Hills, Central East Hyderabad","North Indian,  Mughlai",428 votes,₹ 1500 for two (approx.)
3857,Frozen Bottle,4.0/52 votes,"Himayath Nagar, Central Hyderabad","Shakes,  Desserts",2 votes,₹ 300 for two (approx.)
3858,Eagles Pizza,3.8/590 votes,"Himayath Nagar, Central Hyderabad","Pizza,  Italian,  Ice Cream,  Fast Food",90 votes,₹ 600 for two (approx.)
3859,Flechazo,4.1/52707 votes,"Sun Towers,Madhapur, West Hyderabad",Multi-Cuisine,2707 votes,₹ 1300 for two (approx.)
3860,Broadway,4.4/5126 votes,"Jubilee Hills, Central West Hyderabad","North Indian,  Chinese,  Continental",126 votes,₹ 2600 for two (approx.)
3861,Apsara Ice Creams,4.3/533 votes,"Himayath Nagar, Central Hyderabad","Ice Cream,  Desserts",33 votes,₹ 300 for two (approx.)
3862,Barbeque Nation,4.4/5693 votes,"Alcazar Mall,Jubilee Hills, Central West Hyderabad","Barbecue,  North Indian",693 votes,₹ 1400 for two (approx.)
3863,Robo Kitchen,3.4/5442 votes,"Alcazar Mall,Jubilee Hills, Central West Hyderabad","Chinese,  Thai,  North Indian",442 votes,₹ 1200 for two (approx.)
3864,Ohri's Uppu,4.0/5143 votes,"Ohri's Banjara,Banjara Hills, Central East Hyderabad","Multi-Cuisine,  South Indian,  Andhra,  Chettinad,  Kerala",143 votes,₹ 1600 for two (approx.)
3865,The Dining Room,4.2/585 votes,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad","North Indian,  Continental",85 votes,₹ 3000 for two (approx.)
3866,Rika,4.6/57 votes,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad",Asian,7 votes,₹ 3400 for two (approx.)
3867,United Kitchens of India,4.2/5213 votes,"The Purple Leaf Hotel,Karkhana, Secunderabad","Multi-Cuisine,  North Indian,  Chinese,  Andhra,  Chettinad,  Bengali",213 votes,₹ 1000 for two (approx.)
3868,Indian Foodies Hub,3.8/5249 votes,"Kimtee Square,Banjara Hills, Central East Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Biryani",249 votes,₹ 1100 for two (approx.)
3869,Tatva,4.4/5357 votes,"Jubilee Hills, Central West Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  European,  Mughlai",357 votes,₹ 1500 for two (approx.)
3870,Almond House,5.0/51 votes,"Banjara Hills, Central East Hyderabad","Mithai,  Desserts",1 votes,₹ 500 for two (approx.)
3871,Ohri's Far East,3.8/5240 votes,"Ohri's Banjara,Banjara Hills, Central East Hyderabad","Chinese,  Seafood",240 votes,₹ 1400 for two (approx.)
3872,Medley,4.3/5156 votes,"Jubilee Hills, Central West Hyderabad","Lebanese,  North Indian,  Italian,  Chinese,  Continental,  Mexican,  Desserts",156 votes,₹ 1000 for two (approx.)
3873,Southern Spice,3.9/546 votes,"Banjara Hills, Central East Hyderabad",South Indian,46 votes,₹ 800 for two (approx.)
3874,TiKi Shack - Rooftop Bar,4.0/5249 votes,"Jahnavi Trade Center,Jubilee Hills, Central West Hyderabad","Multi-Cuisine,  North Indian,  Continental,  Asian,  Fast Food",249 votes,₹ 1500 for two (approx.)
3875,Ohri's Eatmor,3.8/5189 votes,"Hotel Baseraa,SD Road, Secunderabad","Continental,  Fast Food,  Italian,  Chinese,  Finger Food,  Street Food,  Desserts,  Ice Cream,  Shakes",189 votes,₹ 1000 for two (approx.)
3876,Bench Cafe & Restaurant,3.9/539 votes,"Abids, Central Hyderabad","Italian,  Chinese",39 votes,₹ 500 for two (approx.)
3877,Indulge Ice Cream,5.0/51 votes,"Banjara Hills, Central East Hyderabad","Ice Cream,  Desserts,  Shakes",1 votes,₹ 300 for two (approx.)
3878,Stallion,4.2/518 votes,"Royal Reve Hotel,SD Road, Secunderabad","Chinese,  Mughlai",18 votes,₹ 1600 for two (approx.)
3879,Almond House,4.7/56 votes,"SD Road, Secunderabad","Mithai,  Desserts",6 votes,₹ 500 for two (approx.)
3880,Ohri's - Sahib’s Barbeque,4.1/51501 votes,"Cyber Grub,Hitech City, West Hyderabad","North Indian,  Barbecue,  Hyderabadi,  Awadhi",1501 votes,₹ 1500 for two (approx.)
3881,Ohri's - Out Swinger,3.8/573 votes,"Hotel Baseraa,SD Road, Secunderabad","Finger Food,  North Indian,  Chinese",73 votes,₹ 1600 for two (approx.)
3882,Petoo,1.0/51 votes,"Ameerpet, Central East Hyderabad","Street Food,  Fast Food,  Chaat,  Biryani",1 votes,₹ 600 for two (approx.)
3883,Cheesiaano Pizza,4.2/538 votes,"Himayath Nagar, Central Hyderabad","Italian,  Pizza",38 votes,₹ 700 for two (approx.)
3884,Scotchman,4.2/534 votes,"Royalton Hotel,Abids, Central Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",34 votes,₹ 2500 for two (approx.)
3885,Spice Garden,4.0/585 votes,"Royal Reve Hotel,SD Road, Secunderabad","North Indian,  Chinese,  Continental",85 votes,₹ 700 for two (approx.)
3886,Amnesia Lounge and Bar,4.0/5365 votes,"Jaya Chambers,Jubilee Hills, Central West Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American",365 votes,₹ 1200 for two (approx.)
3887,Vintage Restaurant And Bar,4.0/510 votes,"Nallakunta, Central Hyderabad","North Indian,  Chinese",10 votes,₹ 1000 for two (approx.)
3888,The Living Room,4.1/57 votes,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad","Desserts,  Bakery and Confectionary,  Coffee",7 votes,₹ 1200 for two (approx.)
3889,Chubby Cho,4.5/5109 votes,"Jubilee Hills, Central West Hyderabad","Chinese,  Seafood,  Sushi",109 votes,₹ 2500 for two (approx.)
3890,Hashi,4.4/5204 votes,"Jubilee Hills, Central West Hyderabad","Japanese,  Asian",204 votes,₹ 1000 for two (approx.)
3891,Coco's Bar & Grill,4.2/5106 votes,"Banjara Hills, Central East Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",106 votes,₹ 1800 for two (approx.)
3892,Cream Shakes,1.9/53 votes,"SR Nagar, Central East Hyderabad",Shakes,3 votes,₹ 300 for two (approx.)
3893,The Funnel Hill Creamery,4.0/531 votes,"Jubilee Hills, Central West Hyderabad","Desserts,  Fast Food",31 votes,₹ 1000 for two (approx.)
3894,Skypark Cafe,2.5/52 votes,"Owner's Pride,Banjara Hills, Central East Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",2 votes,₹ 1000 for two (approx.)
3895,Theory Cafe & Dessert Bar,3.9/531 votes,"Jubilee Hills, Central West Hyderabad","Continental,  Fast Food,  Shakes",31 votes,₹ 1200 for two (approx.)
3896,Fat Pigeon - Bar Hop,4.5/5110 votes,"Jubilee Hills, Central West Hyderabad","Multi-Cuisine,  North Indian,  Continental,  Mexican,  Lebanese",110 votes,₹ 2600 for two (approx.)
3897,SodaBottleOpenerWala,4.4/5404 votes,"Niharika Jubilee One,Jubilee Hills, Central West Hyderabad","Parsi,  Iranian",404 votes,₹ 2000 for two (approx.)
3898,Serefe Bar Bistro & Lounge,4.1/5229 votes,"Jubilee Hills, Central West Hyderabad","North Indian,  Italian,  Continental,  Asian",229 votes,₹ 2600 for two (approx.)
3899,Sizzling Joe,1.0/52 votes,"Terminal Drive In,Sindhi Colony, Secunderabad","Sizzlers,  Fast Food",2 votes,₹ 500 for two (approx.)
3900,Amantran,,"Somajiguda, Central East Hyderabad",Bengali,0,₹ 300 for two (approx.)
3901,Comic Social,4.5/524 votes,"Jubilee Hills, Central West Hyderabad","Italian,  Fast Food,  Coffee,  Tea",24 votes,₹ 1000 for two (approx.)
3902,Flavours Of TMH,4.4/5208 votes,"Taj Mahal Hotel,Jubilee Hills, Central West Hyderabad","North Indian,  South Indian,  Chinese,  Continental",208 votes,₹ 1200 for two (approx.)
3903,Absorb - The Boutique Bar,4.1/5446 votes,"Jubilee Hills, Central West Hyderabad",Continental,446 votes,₹ 1500 for two (approx.)
3904,Zero40 Brewing,4.4/5232 votes,"Zero40,Jubilee Hills, Central West Hyderabad","North Indian,  American",232 votes,₹ 2700 for two (approx.)
3905,45th Avenue,3.9/59 votes,"Jubilee Hills, Central West Hyderabad",Desserts,9 votes,₹ 800 for two (approx.)
3906,Gappe Vappe,4.0/51 votes,"SD Road, Secunderabad","Street Food,  Fast Food",1 votes,₹ 500 for two (approx.)
3907,By The Bottle,4.1/5221 votes,"Shreshta Aura,Jubilee Hills, Central West Hyderabad","Finger Food,  North Indian,  Italian,  Oriental ",221 votes,₹ 1500 for two (approx.)
3908,China Bistro,4.3/5521 votes,"Niharika Jubilee One,Jubilee Hills, Central West Hyderabad","Chinese,  Asian,  Thai,  Japanese,  Sushi",521 votes,₹ 2000 for two (approx.)
3909,Oye Pizza,4.1/514 votes,"Abids, Central Hyderabad","Fast Food,  Pizza",14 votes,₹ 500 for two (approx.)
3910,President Dhaba Bar & Kitchen,4.0/5214 votes,"Shreshta Aura,Jubilee Hills, Central West Hyderabad","North Indian,  Chinese,  Seafood",214 votes,₹ 2000 for two (approx.)
3911,Mahamudra,4.5/551 votes,"Jubilee Hills, Central West Hyderabad","South Indian,  Health Food,  North Indian",51 votes,₹ 800 for two (approx.)
3912,The Hole in The Wall Cafe,4.4/562 votes,"Jubilee Hills, Central West Hyderabad","American,  Fast Food,  Waffle",62 votes,₹ 600 for two (approx.)
3913,Amantran,,"Panjagutta, Central East Hyderabad",Bengali,0,₹ 300 for two (approx.)
3914,Chandra Haveli Star Restaurant,4.2/545 votes,"Jubilee Hills, Central West Hyderabad","North Indian,  South Indian,  Biryani",45 votes,₹ 800 for two (approx.)
3915,Mini Punjab,3.3/595 votes,"Abids, Central Hyderabad","North Indian,  Chinese",95 votes,₹ 500 for two (approx.)
3916,Blue Block Club,3.6/554 votes,"Jubilee Hills, Central West Hyderabad","North Indian,  Continental,  Chinese",54 votes,₹ 2000 for two (approx.)
3917,Grill 9,4.0/51 votes,"SD Road, Secunderabad","North Indian,  Arabian,  Chinese,  Lebanese",1 votes,₹ 600 for two (approx.)
3918,Gelatissimo,4.4/5113 votes,"Jubilee Hills, Central West Hyderabad","Desserts,  Ice Cream",113 votes,₹ 400 for two (approx.)
3919,Sofrehh Persian Bistro,4.1/530 votes,"Jubilee Hills, Central West Hyderabad","Persian,  Fast Food",30 votes,₹ 600 for two (approx.)
3920,Autumn Leaf Cafe,4.4/5127 votes,"Jubilee Hills, Central West Hyderabad","Continental,  Fast Food",127 votes,₹ 1000 for two (approx.)
3921,Ulavacharu,3.8/5324 votes,"Jubilee Hills, Central West Hyderabad","Seafood,  Andhra,  North Indian,  Chinese",324 votes,₹ 1000 for two (approx.)
3922,Dirty Martini - Kitchen and Cocktail Lounge,4.2/5103 votes,"Alcazar Mall,Jubilee Hills, Central West Hyderabad","North Indian,  Continental,  Oriental ",103 votes,₹ 2300 for two (approx.)
3923,Eagles Pizza,3.9/541 votes,"Banjara Hills, Central East Hyderabad","Pizza,  Italian,  Ice Cream,  Fast Food",41 votes,₹ 600 for two (approx.)
3924,Oh So Stoned,4.0/548 votes,"The Purple Leaf Hotel,Karkhana, Secunderabad","Ice Cream,  Desserts,  Shakes",48 votes,₹ 400 for two (approx.)
3925,Grill 9,3.7/574 votes,"Karkhana, Secunderabad","Arabian,  North Indian,  Chinese,  Biryani",74 votes,₹ 400 for two (approx.)
3926,Makers Of Milkshakes,5.0/51 votes,"Bowenpally, Secunderabad","Shakes,  Waffle",1 votes,₹ 400 for two (approx.)
3927,Jamie's Pizzeria By Jamie Oliver,4.6/59 votes,"Jubilee Hills, Central West Hyderabad","Italian,  Pizza",9 votes,₹ 1000 for two (approx.)
3928,Sounds & Spirits,4.1/5385 votes,"Madhapur, West Hyderabad","Continental,  Finger Food",385 votes,₹ 1500 for two (approx.)
3929,Makers Of Milkshakes,5.0/51 votes,"Kachiguda, Central Hyderabad","Shakes,  Waffle",1 votes,₹ 400 for two (approx.)
3930,Subway,,"Ameerpet, Central East Hyderabad",Health Food,0,₹ 400 for two (approx.)
3931,Kabul Darbar,4.2/586 votes,"Yousuf Tekri Complex,Tolichowki, Central Hyderabad","Afghani,  Biryani",86 votes,₹ 900 for two (approx.)
3932,Repete Brewery & Kitchen,4.0/5494 votes,"Jubilee Hills, Central West Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Continental,  Pizza",494 votes,₹ 1800 for two (approx.)
3933,Gismat Arabic Restaurant,3.7/5205 votes,"PNR Empire,Kukatpally, West Hyderabad",Arabian,205 votes,₹ 800 for two (approx.)
3934,MOB,4.1/5178 votes,"Film Nagar, Central West Hyderabad","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",178 votes,₹ 3000 for two (approx.)
3935,Stone Waters,4.1/5266 votes,"Aruna Arcade,Jubilee Hills, Central West Hyderabad","North Indian,  Continental,  Asian",266 votes,₹ 2100 for two (approx.)
3936,The Moonshine Project,4.3/5236 votes,"Jubilee Hills, Central West Hyderabad","Multi-Cuisine,  North Indian,  Chinese,  Continental,  Mexican,  American",236 votes,₹ 2200 for two (approx.)
3937,Smoky Pitara,3.9/51076 votes,"Sreshta Aura,Jubilee Hills, Central West Hyderabad","North Indian,  Continental,  Oriental ",1076 votes,₹ 1300 for two (approx.)
3938,Cream Stone,4.4/512 votes,"Sami Complex,Jubilee Hills, Central West Hyderabad","Desserts,  Ice Cream,  Shakes",12 votes,₹ 400 for two (approx.)
3939,Lassi Hub,4.0/51 votes,"Kachiguda, Central Hyderabad","Drinks,  Fast Food",1 votes,₹ 300 for two (approx.)
3940,Urban Asia-Kitchen and Bar,4.2/5452 votes,"Jahnavi Trade Center,Jubilee Hills, Central West Hyderabad","Asian,  Chinese,  Thai,  Japanese,  Seafood",452 votes,₹ 1500 for two (approx.)
3941,Tarz Creators Studio & Cafe,4.4/541 votes,"Jubilee Hills, Central West Hyderabad","Health Food,  North Indian,  Italian,  Mediterranean",41 votes,₹ 800 for two (approx.)
3942,Mama's Kitchen,3.5/5241 votes,"Jubilee Hills, Central West Hyderabad","North Indian,  South Indian,  Chinese",241 votes,₹ 700 for two (approx.)
3943,Exotica,4.4/5162 votes,"Business Square,Hitech City, West Hyderabad","North Indian,  Chinese,  Mughlai,  Oriental ",162 votes,₹ 2600 for two (approx.)
3944,Beyond Coffee,4.4/558 votes,"Jubilee Hills, Central West Hyderabad","Italian,  Coffee,  Continental,  American",58 votes,₹ 900 for two (approx.)
3945,Captain Egg,4.2/523 votes,"Jubilee Hills, Central West Hyderabad",Fast Food,23 votes,₹ 1000 for two (approx.)
3946,Moxa Kitchen,4.2/559 votes,"Film Nagar, Central West Hyderabad","North Indian,  Chinese,  Continental",59 votes,₹ 1100 for two (approx.)
3947,Ohri's - Nautanki Gali,3.8/51405 votes,"Hitech City, West Hyderabad","North Indian,  Chinese,  Continental,  South Indian,  Mediterranean,  Indian Cuisine",1405 votes,₹ 1100 for two (approx.)
3948,The Taste Of Italy,,"PG Road, Secunderabad","Italian,  Pizza",0,₹ 500 for two (approx.)
3949,Enchante Cafe And Confectionery,4.3/581 votes,"Jubilee Hills, Central West Hyderabad","Desserts,  Bakery and Confectionary,  Italian",81 votes,₹ 800 for two (approx.)
3950,Buffalo Wild Wings,4.4/5320 votes,"Axis Tower,Jubilee Hills, Central West Hyderabad",American,320 votes,₹ 2500 for two (approx.)
3951,Aura,4.3/570 votes,"Jubilee Hills, Central West Hyderabad","Continental,  Italian,  American",70 votes,₹ 1500 for two (approx.)
3952,Zafar's Fine Dine,4.0/544 votes,"Yousuf Tekri Complex,Tolichowki, Central Hyderabad","Chinese,  Arabian,  North Indian",44 votes,₹ 900 for two (approx.)
3953,4 Seasons,3.9/5115 votes,"Yousuf Tekri Complex,Tolichowki, Central Hyderabad","Arabian,  North Indian,  Seafood,  Mughlai",115 votes,₹ 1400 for two (approx.)
3954,N Grand,3.4/514 votes,"Karkhana, Secunderabad","North Indian,  Andhra,  Chinese",14 votes,₹ 900 for two (approx.)
3955,Ironhill Cafe,4.4/545 votes,"Jubilee Hills, Central West Hyderabad","Italian,  Continental,  Fast Food",45 votes,₹ 900 for two (approx.)
3956,Filmy Junction,3.8/5513 votes,"Banjara Hills, Central East Hyderabad","Multi-Cuisine,  North Indian,  South Indian,  Mughlai,  Andhra",513 votes,₹ 1000 for two (approx.)
3957,The ThickShake Factory,4.3/54 votes,"Film Nagar, Central West Hyderabad",Shakes,4 votes,₹ 400 for two (approx.)
3958,President Dhaba,3.9/5478 votes,"Madhapur, West Hyderabad","North Indian,  Chinese,  Mughlai",478 votes,₹ 1000 for two (approx.)
3959,Temptations,4.0/51 votes,"Begum Bazaar, South Hyderabad","Desserts,  Ice Cream,  Shakes,  Fast Food",1 votes,₹ 600 for two (approx.)
3960,Blind Ch3mistry,4.1/560 votes,"Jubilee Hills, Central West Hyderabad","Italian,  Fast Food",60 votes,₹ 600 for two (approx.)
3961,Kobe Sizzlers,4.0/5246 votes,"Jubilee Hills, Central West Hyderabad","Continental,  Asian,  Sizzlers",246 votes,₹ 1200 for two (approx.)
3962,Maguro,4.4/527 votes,"Jubilee Hills, Central West Hyderabad","Japanese,  Sushi,  Asian",27 votes,₹ 1400 for two (approx.)
3963,Chemistry,4.0/5169 votes,"Jubilee Hills, Central West Hyderabad",Finger Food,169 votes,₹ 1800 for two (approx.)
3964,Santosh Dhaba,3.8/557 votes,"Begum Bazaar, South Hyderabad","North Indian,  Chinese",57 votes,₹ 600 for two (approx.)
3965,Istanbul,4.4/514 votes,"Sami Complex,Jubilee Hills, Central West Hyderabad",Middle Eastern,14 votes,₹ 300 for two (approx.)
3966,Beijing Bites,4.0/53 votes,"Cuba Food Havana,Film Nagar, Central West Hyderabad",Chinese,3 votes,₹ 400 for two (approx.)
3967,Hotel Kass,4.3/5158 votes,"Hotel Kass,Kompally, Secunderabad","South Indian,  Andhra,  Chinese",158 votes,₹ 1200 for two (approx.)
3968,The Pizza Hub,2.0/51 votes,"Kachiguda, Central Hyderabad","Fast Food,  Pizza",1 votes,₹ 600 for two (approx.)
3969,Cream Stone,3.8/524 votes,"Tolichowki, Central Hyderabad","Desserts,  Ice Cream,  Shakes",24 votes,₹ 400 for two (approx.)
3970,Carpe Diem,4.1/585 votes,"Jubilee Hills, Central West Hyderabad","Continental,  Finger Food",85 votes,₹ 2700 for two (approx.)
3971,Ironhill Hyderabad,4.1/523 votes,"Kukatpally, West Hyderabad","North Indian,  Continental,  Italian",23 votes,₹ 1200 for two (approx.)
