,Name,Rating,Location,Cuisine,Votes,Cost
6406,Olive Culture,5.0/51 votes,"Gopalbari, North Jaipur",Middle Eastern,1 votes,₹ 500 for two (approx.)
6407,Jaipur Adda,4.4/5146 votes,"Nirwana Hometel,Bani Park, Central Jaipur","North Indian,  Finger Food",146 votes,₹ 1600 for two (approx.)
6408,Retreat,4.1/5284 votes,"C Scheme, Central Jaipur","North Indian,  Continental,  Italian,  Chinese",284 votes,₹ 2000 for two (approx.)
6409,The Sushi Company,4.6/59 votes,"C Scheme, Central Jaipur",Sushi,9 votes,₹ 1400 for two (approx.)
6410,Spice It,4.3/512 votes,"Civil Lines, Central Jaipur","North Indian,  Continental,  Oriental ",12 votes,₹ 1500 for two (approx.)
6411,Gulabi Nagari,4.2/5200 votes,"Bani Park, Central Jaipur","North Indian,  Continental,  Fast Food",200 votes,₹ 1300 for two (approx.)
6412,360°,4.0/5160 votes,"C Scheme, Central Jaipur","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",160 votes,₹ 2200 for two (approx.)
6413,Pasta Cucina,3.9/540 votes,"C Scheme, Central Jaipur","Italian,  Fast Food",40 votes,₹ 600 for two (approx.)
6414,The Feast,4.7/53 votes,"C Scheme, Central Jaipur","Bakery and Confectionary,  Desserts,  Fast Food",3 votes,₹ 600 for two (approx.)
6415,Hops n Taters,4.3/5184 votes,"Lal Kothi, Central Jaipur","North Indian,  Italian,  Oriental ",184 votes,₹ 1300 for two (approx.)
6416,Stepout Cafe,4.4/555 votes,"C Scheme, Central Jaipur","Continental,  Mediterranean,  Fast Food,  Bakery and Confectionary,  Drinks",55 votes,₹ 800 for two (approx.)
6417,Mosaic,4.4/526 votes,"Radisson Jaipur City Center,Mirza Ismail Road, West Jaipur","Asian,  North Indian,  Italian,  Continental,  European",26 votes,₹ 2200 for two (approx.)
6418,Sagar Ratna,3.7/578 votes,"Bagadiya Bhawan,C Scheme, Central Jaipur","South Indian,  North Indian,  Chinese",78 votes,₹ 600 for two (approx.)
6419,Aurum,4.5/519 votes,"Hilton Hotel,Bais Godam, Central Jaipur","Multi-Cuisine,  North Indian,  Italian,  Continental",19 votes,₹ 3100 for two (approx.)
6420,Topaz SkyDeck and FineDine,4.5/538 votes,"Hotel Natraj,Mirza Ismail Road, West Jaipur","North Indian,  Chinese,  Continental,  Fast Food",38 votes,₹ 800 for two (approx.)
6421,Mamu's Infusion,4.2/550 votes,"C Scheme, Central Jaipur","Italian,  North Indian,  Chinese,  Mexican,  Fast Food",50 votes,₹ 700 for two (approx.)
6422,Mama Fu,3.6/57 votes,"C Scheme, Central Jaipur","Chinese,  Fast Food,  Seafood,  Asian",7 votes,₹ 1000 for two (approx.)
6423,Sri Moturam Prasadam Original,4.1/582 votes,"C Scheme, Central Jaipur","North Indian,  Rajasthani,  South Indian",82 votes,₹ 900 for two (approx.)
6424,Spice Art,4.6/57 votes,"Sindhi Camp, Central Jaipur","North Indian,  Chinese,  Fast Food",7 votes,₹ 800 for two (approx.)
6425,Quyu's Taproom,4.0/52 votes,"C Scheme, Central Jaipur","North Indian,  Italian,  Oriental ",2 votes,₹ 900 for two (approx.)
6426,Tamarind,5.0/51 votes,"Shakun Hotels and Resorts,C Scheme, Central Jaipur","North Indian,  Italian,  Asian,  Rajasthani",1 votes,₹ 2000 for two (approx.)
6427,Brown Sugar Quick,3.9/53 votes,"Bais Godam, Central Jaipur",Fast Food,3 votes,₹ 600 for two (approx.)
6428,Grand Indiana,4.3/521 votes,"Mirza Ismail Road, West Jaipur","North Indian,  Mughlai,  Chinese",21 votes,₹ 900 for two (approx.)
6429,The Belgian Waffle Co,3.8/510 votes,"C Scheme, Central Jaipur","Waffle,  Desserts",10 votes,₹ 600 for two (approx.)
6430,Apsara Ice Cream,4.7/550 votes,"C Scheme, Central Jaipur","Desserts,  Ice Cream",50 votes,₹ 300 for two (approx.)
6431,Barbeque Nation,4.5/597 votes,"Mirza Ismail Road, West Jaipur","Barbecue,  North Indian",97 votes,₹ 1200 for two (approx.)
6432,Pantheon,4.7/57 votes,"Shakun Hotels and Resorts,C Scheme, Central Jaipur","North Indian,  Continental,  Asian",7 votes,₹ 2600 for two (approx.)
6433,Rawat Restaurant,4.4/57 votes,"Sindhi Camp, Central Jaipur","North Indian,  Chinese,  Fast Food",7 votes,₹ 800 for two (approx.)
6434,5th Alley,4.1/515 votes,"5 by OYO - Metropolitan,Bais Godam, Central Jaipur","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Thai,  World Cuisine,  Desserts",15 votes,₹ 1800 for two (approx.)
6435,Liquid House Lounge & Bar,4.0/57 votes,"5 by OYO - Metropolitan,Bais Godam, Central Jaipur",Finger Food,7 votes,₹ 1200 for two (approx.)
6436,Nibs Experia,3.7/527 votes,"C Scheme, Central Jaipur","Italian,  Continental,  Desserts,  Fast Food",27 votes,₹ 800 for two (approx.)
6437,Fat Rabbit,4.5/528 votes,"Bani Park, Central Jaipur","North Indian,  Continental,  Oriental ,  Sushi",28 votes,₹ 1500 for two (approx.)
6438,The Night Jar,4.2/5296 votes,"Leisure Inn Grand Chanakya,Mirza Ismail Road, West Jaipur","North Indian,  Continental,  Chinese",296 votes,₹ 1100 for two (approx.)
6439,The Wine Spring - Wine Bistro & Deli,3.0/55 votes,"C Scheme, Central Jaipur","North Indian,  Continental",5 votes,₹ 1200 for two (approx.)
6440,Handi Fusion,4.1/528 votes,"Hotel Maya Mansion,Mirza Ismail Road, West Jaipur","North Indian,  Italian,  Chinese",28 votes,₹ 1600 for two (approx.)
